"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"SHISA3",4.4538593,4.541963,2.9859095,5.9270635,4.605378,4.820438,5.287087,5.4520254,4.579191,2.8899026,6.3452196,5.1032453,6.767842,2.8235846,4.602054,5.146103,4.4828763,6.538536,10.18007,9.780321,10.124165,9.997829,9.190359,8.083792,9.35628,10.084773,10.631652,7.487434,9.300476,9.0207405,10.8236885,7.3010674,9.148025,9.279381,8.261705,9.210225
"LTF",11.580047,11.466675,8.036058,10.783989,11.965546,11.700599,10.6550045,12.563408,11.538571,6.979547,14.079532,11.754784,10.003501,9.3589945,11.458353,8.870561,11.757139,11.806885,15.603315,17.808893,17.463427,17.508255,17.776012,17.426395,18.19981,18.455616,16.878683,16.515749,17.13517,17.585993,16.375977,18.904018,17.475866,17.49033,11.597679,18.64855
"ZNF667",7.2597575,5.9054675,6.16974,5.7133865,6.5044537,6.3167224,5.9608407,6.689463,6.5815086,6.1938105,5.970908,6.3217854,5.8954015,6.3966274,5.7133865,5.624329,6.442594,6.7026954,7.5476007,7.7165704,8.016288,7.896245,7.71147,7.533658,7.853838,8.502637,8.033003,7.437952,7.7585144,7.6868877,8.1187935,7.0087724,7.5563793,7.669658,8.579325,7.778222
"C16orf89",5.750863,5.2744368,4.3691044,5.5715205,5.78454675,4.75314885,4.89453785,6.63553825,3.8225437,4.23505865,5.51128935,5.9987745,4.445019,4.6856911,5.05766905,3.65100185,4.39333525,6.40459565,7.4594552,8.30537515,8.094759,8.5930868,10.155436,7.1006375,8.6110402,8.708261,8.892776,7.4708268,7.86945725,8.0142615,7.8406747,10.20858275,7.6480515,7.8956965,7.20774035,9.261925
"ADH1B",2.6155548,2.6681154,2.6145492,3.8532045,2.9350972,2.5933297,2.620969,4.3193398,2.6116014,2.6097364,2.8945706,2.6252232,2.6223214,4.080413,2.6319375,2.6310284,5.2682652,4.254259,7.1049447,7.5278997,8.2645035,7.284199,6.546828,4.5054092,6.9133763,7.835644,8.130817,5.565408,7.5726137,6.6584764,8.688386,6.6971874,5.417265,7.1168833,4.763532,6.185601
"EDNRB",7.504189,7.68216965,7.70991275,7.36568975,6.6778093,7.4481615,8.0321455,8.39526965,7.1628205,7.691391,7.8323202,8.41723175,6.958859,7.75735425,6.66803935,8.57537635,7.46225535,8.5198263,9.655601,9.7239925,9.7497245,9.3996365,9.592468,9.1810472,9.7935915,8.8738425,9.578164,9.044554,10.178245,9.354467,10.056135,9.763364,9.8371045,9.5174145,8.4711545,9.5070595
"DGKD",14.445468,13.372807,13.055205,13.7808485,13.626909,13.528587,12.44925,14.017073,13.126454,13.589638,14.199685,13.636572,13.147953,13.354527,13.44763,12.7136755,13.006667,13.541493,15.172636,14.712405,15.163174,14.996582,14.97537,14.797667,15.372349,14.546218,15.100994,14.7540245,14.933818,15.110762,15.090818,14.11569,14.586307,14.8520155,14.911116,15.047249
"PLAU",14.359688,14.88234,15.965838,15.37043,15.502701,15.164197,15.316956,14.395264,16.442902,16.04266,13.57561,16.34432,17.959314,16.666111,15.31272,16.346453,16.676176,14.728335,12.679353,13.003075,12.851938,12.738709,13.422739,13.60274,12.813654,12.429904,12.572706,13.573705,12.79436,12.219558,13.2443,12.977831,13.010177,12.853038,13.091247,12.626064
"FOXP1",12.9142685,13.2320935,12.500646,13.1669495,12.3050095,12.6608255,12.80765,13.352546,13.2513705,12.7211135,12.8272805,13.456083,13.116417,12.648445,13.118621,12.7072955,12.7367525,12.9309815,14.2877095,14.030258,14.1230175,14.0599045,14.2429765,13.68801475,14.125368,13.8610545,14.064336,13.7737915,14.00424,13.9969335,13.978015,13.869871,13.867028,13.8045335,15.177089,13.9401075
"GDF10",5.2678987,4.70062815,4.2804778,5.26723515,4.1820856,5.2325382,4.20849425,7.18267765,6.588061,4.40486525,6.2846444,6.77539235,4.829817,5.19842685,4.69849,5.07704635,4.43517725,6.30597235,8.4544712,8.6745723,8.29362835,7.6436519,8.7584793,6.94608405,8.968784,11.190349,8.6383733,7.6614948,8.26524475,7.7416465,8.34929965,9.1408385,7.801244,7.5859225,7.740648,8.8332215
