cancer,infiltrates,rho,p,adj.p
ACC (n=79),Macrophage M0_CIBERSORT,0.0844471285944646,0.477497237806001,0.610683684793044
ACC (n=79),Macrophage M0_CIBERSORT-ABS,0.0982644075664781,0.408188909759049,0.541843685520861
ACC (n=79),Macrophage M1_CIBERSORT,0.122276535544786,0.302741252031643,0.433519692646745
ACC (n=79),Macrophage M1_CIBERSORT-ABS,0.202654421452112,0.0855258662799059,0.157409569840318
ACC (n=79),Macrophage M1_QUANTISEQ,0.246783828074983,0.035308501127049,0.077313386255664
ACC (n=79),Macrophage M1_XCELL,-0.136319295700046,0.25014895781794,0.374287717433327
ACC (n=79),Macrophage M2_CIBERSORT,-0.0137088109958821,0.908356424487198,0.933003338728012
ACC (n=79),Macrophage M2_CIBERSORT-ABS,0.241050471293322,0.0399380579186489,0.0849745913162742
ACC (n=79),Macrophage M2_QUANTISEQ,0.0183624896180677,0.877456558810458,0.919196234258926
ACC (n=79),Macrophage M2_TIDE,-0.077929399704445,0.512252276150505,0.637658435042123
ACC (n=79),Macrophage M2_XCELL,-0.249592835877862,0.0332092934184936,0.0732557943055007
ACC (n=79),Macrophage_EPIC,-0.0182026273174948,0.878515269067006,0.919196234258926
ACC (n=79),Macrophage_TIMER,0.232314904872581,0.0479524108538911,0.0995551782433726
ACC (n=79),Macrophage_XCELL,-0.0765751326932123,0.519632285789552,0.644172255111015
ACC (n=79),Macrophage/Monocyte_MCPCOUNTER,0.177646855837409,0.132682892842782,0.228763608349624
BLCA (n=408),Macrophage M0_CIBERSORT,0.0338342833867902,0.517611720419313,0.642995925986725
BLCA (n=408),Macrophage M0_CIBERSORT-ABS,0.097828275220255,0.0608221199595478,0.120043657814897
BLCA (n=408),Macrophage M1_CIBERSORT,0.273926001127125,9.32527327974238e-08,6.66090948553027e-07
BLCA (n=408),Macrophage M1_CIBERSORT-ABS,0.309711466378421,1.27117574883437e-09,1.12162566073621e-08
